,,,,,,OPEN,,,,,CLOSED,,,,,
GLTC,704,1,genOnly,CLAPUR,4,2,,,,0.03133,4,,,,0.06179,
GLTC,704,1,genOnly,CLAPUR,5,,,,,,,,,,,
GLTC,704,1,genOnly,CLAPUR,6,,,,,,,,,,,
GLTC,704,1,genOnly,CLAPUR,7,,,,,,,,,,,
GLTC,704,1,genOnly,CLAPUR,8,,,,,,,,,,,
GLTC,704,1,genOnly,CLAPUR,9,,,,,,,,,,,
GLTC,704,1,genOnly,CLAPUR,10,,,,,,,,,,,
GLTC,704,4,genSpec2,CLAPUR,1,,,,,,,,,,,
GLTC,704,4,genSpec2,CLAPUR,2,,,,,,,,,,,
GLTC,704,4,genSpec2,CLAPUR,3,1,6,13,19,0.00247,2,23,114,137,0.01736,
GLTC,704,4,genSpec2,CLAPUR,4,,,,,,3,78,55,133,0.02621,fib 
GLTC,704,4,genSpec2,CLAPUR,5,,,,,,,,,,,
GLTC,704,4,genSpec2,CLAPUR,6,,,,,,,,,,,
GLTC,704,4,genSpec2,CLAPUR,7,,,,,,,,,,,
GLTC,704,4,genSpec2,CLAPUR,8,,,,,,,,,,,
GLTC,704,4,genSpec2,CLAPUR,9,,,,,,,,,,,
GLTC,704,4,genSpec2,CLAPUR,10,,,,,,,,,,,
GLTC,704,5,genSpec3,CLAPUR,1,1,41,19,60,0.01275,1,23,25,48,0.00882,
GLTC,704,5,genSpec3,CLAPUR,2,7,120,42,162,0.05918,7,203,41,244,0.07527,
GLTC,704,5,genSpec3,CLAPUR,3,1,,,,0.00536,1,0,10,10,0.00079,
GLTC,704,5,genSpec3,CLAPUR,4,,,,,,5,,,,0.05544,
GLTC,704,5,genSpec3,CLAPUR,5,,,,,,,,,,,
GLTC,704,5,genSpec3,CLAPUR,6,1,,,,0.00636,1,,,,0.00448,
GLTC,704,5,genSpec3,CLAPUR,7,,,,,,,,,,,
GLTC,704,5,genSpec3,CLAPUR,8,,,,,,,,,,,
GLTC,704,5,genSpec3,CLAPUR,9,,,,,,,,,,,
GLTC,704,5,genSpec3,CLAPUR,10,,,,,,,,,,,
GLTC,705,1,genOnly,CLAPUR,1,,,,,,,,,,,
GLTC,705,1,genOnly,CLAPUR,2,,,,,,,,,,,
GLTC,705,1,genOnly,CLAPUR,3,,,,,,,,,,,
GLTC,705,1,genOnly,CLAPUR,4,,,,,,,,,,,
GLTC,705,1,genOnly,CLAPUR,5,,,,,,,,,,,
GLTC,705,1,genOnly,CLAPUR,6,,,,,,,,,,,
GLTC,705,1,genOnly,CLAPUR,7,,,,,,,,,,,
GLTC,705,1,genOnly,CLAPUR,8,,,,,,,,,,,
GLTC,705,1,genOnly,CLAPUR,9,,,,,,,,,,,
GLTC,705,1,genOnly,CLAPUR,10,,,,,,,,,,,
GLTC,705,4,genSpec2,CLAPUR,1,,,,,,,,,,,
GLTC,705,4,genSpec2,CLAPUR,2,,,,,,,,,,,
GLTC,705,4,genSpec2,CLAPUR,3,,,,,,,,,,,
GLTC,705,4,genSpec2,CLAPUR,4,,,,,,,,,,,
GLTC,705,4,genSpec2,CLAPUR,5,,,,,,,,,,,
GLTC,705,4,genSpec2,CLAPUR,6,,,,,,,,,,,
GLTC,705,4,genSpec2,CLAPUR,7,,,,,,,,,,,
GLTC,705,4,genSpec2,CLAPUR,8,,,,,,,,,,,
GLTC,705,4,genSpec2,CLAPUR,9,,,,,,,,,,,
GLTC,705,4,genSpec2,CLAPUR,10,,,,,,,,,,,
GLTC,705,5,genSpec3,CLAPUR,1,,,,,,,,,,,
GLTC,705,5,genSpec3,CLAPUR,2,,,,,,,,,,,
GLTC,705,5,genSpec3,CLAPUR,3,,,,,,,,,,,
GLTC,705,5,genSpec3,CLAPUR,4,,,,,,,,,,,
GLTC,705,5,genSpec3,CLAPUR,5,,,,,,,,,,,
GLTC,705,5,genSpec3,CLAPUR,6,,,,,,,,,,,
GLTC,705,5,genSpec3,CLAPUR,7,,,,,,,,,,,
GLTC,705,5,genSpec3,CLAPUR,8,,,,,,,,,,,
GLTC,705,5,genSpec3,CLAPUR,9,,,,,,,,,,,
GLTC,705,5,genSpec3,CLAPUR,10,,,,,,,,,,,
